title,sell_price,orig_price,rating,num_ratings
KODAK 80 cm (32 inch) HD Ready LED Smart Android TV 2023 Edition with Android 11 and Dolby Digital Plu...,"₹10,499","₹17,999",4.4,"42,856 Ratings & 9,025 Reviews"
Blaupunkt Cybersound 80 cm (32 inch) HD Ready LED Smart Android TV with 40W Speaker,"₹9,999","₹19,499",4.4,"12,965 Ratings & 2,884 Reviews"
TCL 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition,"₹41,490","₹79,990",4.1,"1,542 Ratings & 165 Reviews"
SAMSUNG Crystal 4K 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV,"₹29,990","₹52,900",4.3,"14,965 Ratings & 1,502 Reviews"
"SENS Dwinci 165 cm (65 inch) QLED Ultra HD (4K) Smart Google TV LumiSENS Panel, Dolby Vision and Dolby...","₹47,999","₹70,290",4.4,339 Ratings & 69 Reviews
BeethoSOL 60 cm (24 inch) HD Ready LED TV,"₹5,449","₹15,000",4.1,"1,905 Ratings & 235 Reviews"
Vu GloLED 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV 2022 Edition with DJ Subwoofer 104W,"₹55,999","₹85,000",4.4,"12,131 Ratings & 2,154 Reviews"
Mi X Pro 125 cm (50 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with Dolby Vision IQ and 40W ...,"₹41,999","₹59,999",4.3,"25,414 Ratings & 2,583 Reviews"
BeethoSOL 80 cm (32 inch) HD Ready LED TV,"₹6,999","₹17,000",4.2,"1,142 Ratings & 140 Reviews"
"SENS Dwinci 140 cm (55 inch) QLED Ultra HD (4K) Smart Google TV LumiSENS Panel, Dolby Vision and Dolby...","₹35,999","₹59,990",4.4,339 Ratings & 69 Reviews
Mi X Pro 138 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with Dolby Vision IQ and 40W ...,"₹47,999","₹69,999",4.3,"25,414 Ratings & 2,583 Reviews"
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV 2022 Edition with 24W Dolby Audio & 1.5GB RAM (202...,"₹16,999","₹25,999",4.4,663 Ratings & 59 Reviews
